"from","to","combined_score"
"9606.ENSP00000216181","9606.ENSP00000484342",523
"9606.ENSP00000226207","9606.ENSP00000484342",625
"9606.ENSP00000226207","9606.ENSP00000484342",625
"9606.ENSP00000232975","9606.ENSP00000484342",694
"9606.ENSP00000232975","9606.ENSP00000484342",694
"9606.ENSP00000255416","9606.ENSP00000484342",446
"9606.ENSP00000255416","9606.ENSP00000484342",446
"9606.ENSP00000262113","9606.ENSP00000484342",563
"9606.ENSP00000262113","9606.ENSP00000484342",563
"9606.ENSP00000284669","9606.ENSP00000484342",885
"9606.ENSP00000284669","9606.ENSP00000484342",885
"9606.ENSP00000307280","9606.ENSP00000484342",983
"9606.ENSP00000307280","9606.ENSP00000484342",983
"9606.ENSP00000325239","9606.ENSP00000484342",664
"9606.ENSP00000325239","9606.ENSP00000484342",664
"9606.ENSP00000341838","9606.ENSP00000484342",719
"9606.ENSP00000341838","9606.ENSP00000484342",719
"9606.ENSP00000350332","9606.ENSP00000484342",824
"9606.ENSP00000350332","9606.ENSP00000484342",824
"9606.ENSP00000354923","9606.ENSP00000484342",937
"9606.ENSP00000354923","9606.ENSP00000484342",937
"9606.ENSP00000379210","9606.ENSP00000484342",749
"9606.ENSP00000379210","9606.ENSP00000484342",749
"9606.ENSP00000379643","9606.ENSP00000484342",429
"9606.ENSP00000379643","9606.ENSP00000484342",429
"9606.ENSP00000380349","9606.ENSP00000484342",565
"9606.ENSP00000380349","9606.ENSP00000484342",565
"9606.ENSP00000400908","9606.ENSP00000484342",800
"9606.ENSP00000400908","9606.ENSP00000484342",800
"9606.ENSP00000431813","9606.ENSP00000484342",667
"9606.ENSP00000431813","9606.ENSP00000484342",667
"9606.ENSP00000443495","9606.ENSP00000484342",880
"9606.ENSP00000443495","9606.ENSP00000484342",880
"9606.ENSP00000467141","9606.ENSP00000484342",999
"9606.ENSP00000467141","9606.ENSP00000484342",999
