"protein","-15.5","-14.5","-13.5","-12.5","-11.5","-10.5","-9.5","-8.5","-7.5","-6.5","-5.5","-4.5","-3.5","-2.5","-1.5","-0.5","start_year","dir","label","cluster_color","P_value","Adj_P_value"
"DCTN2",NA,NA,NA,NA,NA,NA,0.556308516374241,0.608337945663113,0.673374746279865,0.738411564815193,0.803448402794588,0.868485261036604,0.933522138592761,0.99855903032864,1.06359592753691,1.13188466976793,-9.6,"increase","9","#2db200",0.0293013489682614,0.0637188064865367
"IQGAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312025213151941,0.331698771964359,0.353558281100043,0.375417789744349,0.39837027348118,-4.8,"increase","Unclustered","#D3D3D3",0.240925299330372,0.325151142920268
"PPFIA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","#75a6ef",0.185041914177254,0.284839800475098
"PPP6R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172025231446359,0.180707654215012,0.190922269233241,0.201136884248307,0.211351499261413,0.221566114272016,0.232291460029696,-6.7,"increase","16","#af75ef",0.458908775702483,0.532936832320472
"CCK",NA,0.867407018860624,0.888459398984104,0.916529239485156,0.94459908084069,0.972668923533996,1.00073876770382,1.02880861302225,1.05687845897298,1.08494830501996,1.1130181505936,1.14108799522214,1.16915783903651,1.19722768283847,1.2252975271601,1.25477086418089,-14.5,"increase","15","#9475ef",0.279869267507107,0.361717826872393
"POSTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extracellular matrix","#b29b00",0.722606258785008,0.767419050027489
"EPHA1",NA,NA,NA,NA,NA,NA,NA,0.260887629259105,0.263351384428263,0.266871035018814,0.270390685822831,0.273910336552047,0.277429986996842,0.280949637016189,0.284469286593971,0.288164918478661,-8.4,"increase","13","#758bef",0.782480661321162,0.824614235392302
"GOLGA4",NA,NA,NA,NA,NA,0.380055754140934,0.376566006652934,0.374192539989513,0.374389019881201,0.377156410266793,0.382336796467347,0.389895846962743,0.399981132001932,0.412407903357743,0.426238186248132,0.441338781340401,-10.6,"increase","Unclustered","#D3D3D3",0.797524154549468,0.827733402827856
"STRN",NA,NA,NA,-0.583695875368106,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51728352267405,0.658372801161345,0.820922111840691,-12.2,"decrease","21","#ef75aa",0,0
"CELSR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.973613581981928,0.980772505378854
"GFAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFβ activation","#aeff65",0.383106049709044,0.464473706284416
"KLK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652155294984229,0.672945857458237,0.694833502577238,0.71799684234463,0.742393713286451,0.769033250107282,-6,"increase","Unclustered","#D3D3D3",0.11209672395915,0.194395584587387
"MTSS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655658626330246,0.781940197290074,0.94299126587146,1.09873099440306,1.25524313907425,-4.6,"increase","Unclustered","#D3D3D3",0.00736209519200137,0.0186779081722998
"EZR",-0.564556426081302,-0.515517048342608,-0.466477670603898,-0.419890261752045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16,"decrease","11","#75c0ef",0.0248547837784228,0.0549210544781277
"FGFBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.389290913162894,0.467832062309794
"MYL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skeletal muscle","#ff0000",0.0110294787603976,0.0265094489504294
"WASF3",NA,NA,NA,NA,0.537843194212523,0.580910671057123,0.642435637640654,0.703960603930624,0.765485569991889,0.827010535797624,0.888535501322925,0.95006046662588,1.01158543186749,1.07311039718686,1.13463536259006,1.19923657637518,-11.4,"increase","Unclustered","#D3D3D3",0.0336177371232869,0.070855845936774
"SDCCAG8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666539868284306,0.781980041237741,0.918863879502964,1.06010076180539,1.20110769253444,1.34719509719535,-5.8,"increase","20","#ef75c5",0.00595076442362574,0.0163050945207345
"WWP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","#6bff65",0.859957053286155,0.879209823135846
"OTUD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400295127603859,0.440721813541465,0.502916714974948,0.56822136146661,-3.3,"increase","10","#6bff65",0.0580128200821843,0.107659874741457
"UNC45A",NA,NA,NA,NA,NA,NA,0.590175016092396,0.657159064275898,0.735963826819577,0.814768589328705,0.89357335180003,0.972378114244411,1.05118287657351,1.1299876385118,1.20879239971792,1.29153739815571,-9.7,"increase","11","#75c0ef",0.0152774862497134,0.0348835936035122
"MAP4K1",0.814897049906773,0.846927730979314,0.889635305743065,0.932342880508598,0.975050455279188,1.01775803006229,1.06046560486861,1.10317317970913,1.14588075459242,1.18858832952676,1.23129590452734,1.27400347961197,1.31671105478405,1.35941863002231,1.40212620529516,1.44696915934444,-15.5,"increase","18","#e475ef",0.207592755725183,0.299370605624738
"SIKE1",NA,NA,NA,NA,NA,0.529188060713089,0.554199421990209,0.581989823423883,0.609780224877134,0.637570626277141,0.665361027473597,0.69315142829046,0.7209418286225,0.748732228449991,0.776522627760972,0.805702546586218,-10.8,"increase","21","#ef75aa",0.223808808493139,0.31277729852581
