Protein,AUC,Index,Model,T,Onset,Scale,MaxFlag
FABP3,0.604,110,XGBoost,3,_first_onset,,NA
NEFL,0.602,111,XGBoost,3,_first_onset,,NA
OTUD4,0.63,112,XGBoost,3,_first_onset,,NA
MAP3K5,0.638,113,XGBoost,3,_first_onset,,NA
IRAG2,0.645,114,XGBoost,3,_first_onset,,NA
RBFOX3,0.645,115,XGBoost,3,_first_onset,,NA
STRN,0.655,116,XGBoost,3,_first_onset,,NA
MYBPH,0.656,117,XGBoost,3,_first_onset,,NA
WWP1,0.662,118,XGBoost,3,_first_onset,,NA
TRAK1,0.663,119,XGBoost,3,_first_onset,,NA
MSTN,0.651,120,XGBoost,3,_first_onset,,NA
MYL3,0.651,121,XGBoost,3,_first_onset,,NA
ENPP5,0.67,122,XGBoost,3,_first_onset,,NA
TNNC1,0.669,123,XGBoost,3,_first_onset,,NA
SYNM,0.674,124,XGBoost,3,_first_onset,,NA
HSPB6,0.678,125,XGBoost,3,_first_onset,,NA
ITGB6,0.672,126,XGBoost,3,_first_onset,,NA
MYBPC1,0.683,127,XGBoost,3,_first_onset,,NA
ALDH3A1,0.688,128,XGBoost,3,_first_onset,,NA
IQGAP2,0.683,129,XGBoost,3,_first_onset,,NA
EDA2R,0.683,130,XGBoost,3,_first_onset,,NA
CALCA,0.683,131,XGBoost,3,_first_onset,,NA
NEB,0.677,132,XGBoost,3,_first_onset,,NA
TTN,0.685,133,XGBoost,3,_first_onset,,NA
MYOM2,0.684,134,XGBoost,3,_first_onset,,NA
SERPINB8,0.679,135,XGBoost,3,_first_onset,,NA
DUSP29,0.662,136,XGBoost,3,_first_onset,,NA
CA3,0.655,137,XGBoost,3,_first_onset,,NA
CRTAC1,0.676,1,XGBoost,5,_first_onset,,NA
ITGAV,0.679,2,XGBoost,5,_first_onset,,NA
SORBS1,0.677,3,XGBoost,5,_first_onset,,NA
KLK8,0.697,4,XGBoost,5,_first_onset,,NA
ITGB6,0.726,5,XGBoost,5,_first_onset,,NA
PPFIBP1,0.722,6,XGBoost,5,_first_onset,,NA
ITGAM,0.723,7,XGBoost,5,_first_onset,,NA
CELSR2,0.733,8,XGBoost,5,_first_onset,,NA
CD38,0.736,9,XGBoost,5,_first_onset,,NA
KLK4,0.733,10,XGBoost,5,_first_onset,,NA
IQGAP2,0.743,11,XGBoost,5,_first_onset,,NA
PACSIN3,0.739,12,XGBoost,5,_first_onset,,NA
MPHOSPH9,0.743,13,XGBoost,5,_first_onset,,NA
NGRN,0.751,14,XGBoost,5,_first_onset,,NA
MOCS3,0.754,15,XGBoost,5,_first_onset,,NA
CA14,0.748,16,XGBoost,5,_first_onset,,NA
NDE1,0.757,17,XGBoost,5,_first_onset,,NA
MELTF,0.752,18,XGBoost,5,_first_onset,,NA
PPY,0.768,19,XGBoost,5,_first_onset,,NA
MYL5,0.771,20,XGBoost,5,_first_onset,,NA
MAP4K1,0.779,21,XGBoost,5,_first_onset,,NA
PDZD2,0.77,22,XGBoost,5,_first_onset,,NA
TRAF2,0.774,23,XGBoost,5,_first_onset,,NA
PBXIP1,0.785,24,XGBoost,5,_first_onset,,NA
ART3,0.78,25,XGBoost,5,_first_onset,,NA
DCTN2,0.785,26,XGBoost,5,_first_onset,,NA
PPP6R2,0.785,27,XGBoost,5,_first_onset,,NA
RAD51AP2,0.784,28,XGBoost,5,_first_onset,,NA
SDCCAG8,0.784,29,XGBoost,5,_first_onset,,NA
UNC45A,0.778,30,XGBoost,5,_first_onset,,NA
CALCOCO1,0.771,31,XGBoost,5,_first_onset,,NA
SIKE1,0.77,32,XGBoost,5,_first_onset,,NA
ENPP5,0.767,33,XGBoost,5,_first_onset,,NA
KISS1,0.773,34,XGBoost,5,_first_onset,,NA
TRAFD1,0.774,35,XGBoost,5,_first_onset,,NA
TAX1BP1,0.774,36,XGBoost,5,_first_onset,,NA
IL32,0.775,37,XGBoost,5,_first_onset,,NA
FYCO1,0.772,38,XGBoost,5,_first_onset,,NA
EZR,0.771,39,XGBoost,5,_first_onset,,NA
POSTN,0.764,40,XGBoost,5,_first_onset,,NA
RGMA,0.767,41,XGBoost,5,_first_onset,,NA
MYOC,0.773,42,XGBoost,5,_first_onset,,NA
COMP,0.773,43,XGBoost,5,_first_onset,,NA
USP28,0.778,44,XGBoost,5,_first_onset,,NA
PPFIA1,0.792,45,XGBoost,5,_first_onset,,MAX
FGFBP1,0.791,46,XGBoost,5,_first_onset,,NA
MTSS1,0.787,47,XGBoost,5,_first_onset,,NA
KIFC3,0.784,48,XGBoost,5,_first_onset,,NA
SAV1,0.781,49,XGBoost,5,_first_onset,,NA
PPFIA4,0.77,50,XGBoost,5,_first_onset,,NA
IFT172,0.772,51,XGBoost,5,_first_onset,,NA
ALDH3A1,0.771,52,XGBoost,5,_first_onset,,NA
ITGB2,0.763,53,XGBoost,5,_first_onset,,NA
CCK,0.766,54,XGBoost,5,_first_onset,,NA
EPHA1,0.76,55,XGBoost,5,_first_onset,,NA
WASF3,0.774,56,XGBoost,5,_first_onset,,NA
OTUD4,0.76,57,XGBoost,5,_first_onset,,NA
WWP1,0.754,58,XGBoost,5,_first_onset,,NA
AFAP1L1,0.763,59,XGBoost,5,_first_onset,,NA
APOA4,0.744,60,XGBoost,5,_first_onset,,NA
ENDOU,0.743,61,XGBoost,5,_first_onset,,NA
KRI1,0.741,62,XGBoost,5,_first_onset,,NA
TNNI3,0.731,63,XGBoost,5,_first_onset,,NA
EIF2AK3,0.724,64,XGBoost,5,_first_onset,,NA
MYBPC2,0.71,65,XGBoost,5,_first_onset,,NA
FABP2,0.723,66,XGBoost,5,_first_onset,,NA
CAP2,0.731,67,XGBoost,5,_first_onset,,NA
ELAVL4,0.742,68,XGBoost,5,_first_onset,,NA
PRND,0.721,69,XGBoost,5,_first_onset,,NA
IDI2,0.73,70,XGBoost,5,_first_onset,,NA
CAPN3,0.715,71,XGBoost,5,_first_onset,,NA
PRKN,0.708,72,XGBoost,5,_first_onset,,NA
ADAM12,0.704,73,XGBoost,5,_first_onset,,NA
MSANTD3,0.7,74,XGBoost,5,_first_onset,,NA
HPCAL4,0.708,75,XGBoost,5,_first_onset,,NA
CLEC4G,0.698,76,XGBoost,5,_first_onset,,NA
COL6A3,0.703,77,XGBoost,5,_first_onset,,NA
MMP3,0.697,78,XGBoost,5,_first_onset,,NA
GOLGA4,0.7,79,XGBoost,5,_first_onset,,NA
CCN3,0.707,80,XGBoost,5,_first_onset,,NA
MAP3K5,0.72,81,XGBoost,5,_first_onset,,NA
KLK15,0.698,82,XGBoost,5,_first_onset,,NA
OGN,0.69,83,XGBoost,5,_first_onset,,NA
PHOSPHO1,0.679,84,XGBoost,5,_first_onset,,NA
SERPINB8,0.681,85,XGBoost,5,_first_onset,,NA
IGFL3,0.67,86,XGBoost,5,_first_onset,,NA
SPINK7,0.669,87,XGBoost,5,_first_onset,,NA
THBS4,0.705,88,XGBoost,5,_first_onset,,NA
IGFBP6,0.69,89,XGBoost,5,_first_onset,,NA
STX4,0.667,90,XGBoost,5,_first_onset,,NA
MEGF10,0.66,91,XGBoost,5,_first_onset,,NA
MYBPH,0.647,92,XGBoost,5,_first_onset,,NA
ACTN2,0.635,93,XGBoost,5,_first_onset,,NA
PTGES2,0.648,94,XGBoost,5,_first_onset,,NA
CALCA,0.636,95,XGBoost,5,_first_onset,,NA
ANKRD2,0.641,96,XGBoost,5,_first_onset,,NA
RBP2,0.644,97,XGBoost,5,_first_onset,,NA
NEB,0.63,98,XGBoost,5,_first_onset,,NA
MYL11,0.629,99,XGBoost,5,_first_onset,,NA
NEFL,0.623,100,XGBoost,5,_first_onset,,NA
MYBPC1,0.682,101,XGBoost,5,_first_onset,,NA
CA3,0.719,102,XGBoost,5,_first_onset,,NA
SYNM,0.73,103,XGBoost,5,_first_onset,,NA
TTN,0.736,104,XGBoost,5,_first_onset,,NA
HS6ST2,0.743,105,XGBoost,5,_first_onset,,NA
EDA2R,0.749,106,XGBoost,5,_first_onset,,NA
HSPB6,0.755,107,XGBoost,5,_first_onset,,NA
KLHL41,0.76,108,XGBoost,5,_first_onset,,NA
CALCB,0.761,109,XGBoost,5,_first_onset,,NA
TXLNB,0.761,110,XGBoost,5,_first_onset,,NA
RBFOX3,0.761,111,XGBoost,5,_first_onset,,NA
TRAK1,0.761,112,XGBoost,5,_first_onset,,NA
TNFRSF12A,0.761,113,XGBoost,5,_first_onset,,NA
JCAD,0.756,114,XGBoost,5,_first_onset,,NA
ADAMTSL5,0.755,115,XGBoost,5,_first_onset,,NA
NOS1,0.753,116,XGBoost,5,_first_onset,,NA
CORO6,0.753,117,XGBoost,5,_first_onset,,NA
DTNB,0.751,118,XGBoost,5,_first_onset,,NA
CMYA5,0.755,119,XGBoost,5,_first_onset,,NA
DMD,0.75,120,XGBoost,5,_first_onset,,NA
CSRP3,0.742,121,XGBoost,5,_first_onset,,NA
MYH9,0.743,122,XGBoost,5,_first_onset,,NA
SMTN,0.751,123,XGBoost,5,_first_onset,,NA
MYOM3,0.75,124,XGBoost,5,_first_onset,,NA
FABP3,0.75,125,XGBoost,5,_first_onset,,NA
MYOM2,0.746,126,XGBoost,5,_first_onset,,NA
MYH1,0.75,127,XGBoost,5,_first_onset,,NA
MYL1,0.758,128,XGBoost,5,_first_onset,,NA
MYL3,0.743,129,XGBoost,5,_first_onset,,NA
NFAT5,0.744,130,XGBoost,5,_first_onset,,NA
TNNC1,0.74,131,XGBoost,5,_first_onset,,NA
GFAP,0.742,132,XGBoost,5,_first_onset,,NA
CD276,0.738,133,XGBoost,5,_first_onset,,NA
MSTN,0.731,134,XGBoost,5,_first_onset,,NA
IRAG2,0.73,135,XGBoost,5,_first_onset,,NA
STRN,0.733,136,XGBoost,5,_first_onset,,NA
DUSP29,0.704,137,XGBoost,5,_first_onset,,NA
NEFL,0.815,1,LR,0.5,_first_onset,,NA
MYL11,0.846,2,LR,0.5,_first_onset,,NA
ITGB6,0.859,3,LR,0.5,_first_onset,,NA
KLK4,0.869,4,LR,0.5,_first_onset,,NA
ITGAV,0.881,5,LR,0.5,_first_onset,,NA
MYOC,0.891,6,LR,0.5,_first_onset,,NA
MEGF10,0.907,7,LR,0.5,_first_onset,,NA
SYNM,0.916,8,LR,0.5,_first_onset,,NA
APOA4,0.918,9,LR,0.5,_first_onset,,NA
KLK8,0.925,10,LR,0.5,_first_onset,,NA
NEB,0.934,11,LR,0.5,_first_onset,,NA
DUSP29,0.938,12,LR,0.5,_first_onset,,NA
MYL1,0.939,13,LR,0.5,_first_onset,,NA
SORBS1,0.939,14,LR,0.5,_first_onset,,NA
CAPN3,0.94,15,LR,0.5,_first_onset,,NA
COMP,0.94,16,LR,0.5,_first_onset,,NA
COL6A3,0.94,17,LR,0.5,_first_onset,,NA
MSANTD3,0.943,18,LR,0.5,_first_onset,,NA
MELTF,0.944,19,LR,0.5,_first_onset,,NA
NOS1,0.945,20,LR,0.5,_first_onset,,MAX
ACTN2,0.943,21,LR,0.5,_first_onset,,NA
FABP3,0.942,22,LR,0.5,_first_onset,,NA
CORO6,0.945,23,LR,0.5,_first_onset,,MAX
CRTAC1,0.945,24,LR,0.5,_first_onset,,MAX
THBS4,0.934,25,LR,0.5,_first_onset,,NA
PPFIA4,0.925,26,LR,0.5,_first_onset,,NA
KIFC3,0.93,27,LR,0.5,_first_onset,,NA
RGMA,0.903,28,LR,0.5,_first_onset,,NA
IGFBP6,0.906,29,LR,0.5,_first_onset,,NA
ANKRD2,0.893,30,LR,0.5,_first_onset,,NA
MYBPC1,0.865,31,LR,0.5,_first_onset,,NA
TRAF2,0.892,32,LR,0.5,_first_onset,,NA
CAP2,0.906,33,LR,0.5,_first_onset,,NA
ART3,0.902,34,LR,0.5,_first_onset,,NA
STRN,0.906,35,LR,0.5,_first_onset,,NA
CA14,0.9,36,LR,0.5,_first_onset,,NA
EZR,0.908,37,LR,0.5,_first_onset,,NA
CALCA,0.913,38,LR,0.5,_first_onset,,NA
ITGAM,0.902,39,LR,0.5,_first_onset,,NA
KLHL41,0.909,40,LR,0.5,_first_onset,,NA
FYCO1,0.91,41,LR,0.5,_first_onset,,NA
PRKN,0.905,42,LR,0.5,_first_onset,,NA
IQGAP2,0.895,43,LR,0.5,_first_onset,,NA
SIKE1,0.896,44,LR,0.5,_first_onset,,NA
PDZD2,0.895,45,LR,0.5,_first_onset,,NA
IFT172,0.895,46,LR,0.5,_first_onset,,NA
IRAG2,0.897,47,LR,0.5,_first_onset,,NA
MYOM2,0.906,48,LR,0.5,_first_onset,,NA
MPHOSPH9,0.906,49,LR,0.5,_first_onset,,NA
JCAD,0.903,50,LR,0.5,_first_onset,,NA
POSTN,0.896,51,LR,0.5,_first_onset,,NA
MYBPH,0.905,52,LR,0.5,_first_onset,,NA
KLK15,0.912,53,LR,0.5,_first_onset,,NA
NGRN,0.917,54,LR,0.5,_first_onset,,NA
EPHA1,0.929,55,LR,0.5,_first_onset,,NA
HSPB6,0.925,56,LR,0.5,_first_onset,,NA
SPINK7,0.915,57,LR,0.5,_first_onset,,NA
HPCAL4,0.918,58,LR,0.5,_first_onset,,NA
ENDOU,0.908,59,LR,0.5,_first_onset,,NA
PPFIBP1,0.897,60,LR,0.5,_first_onset,,NA
MAP4K1,0.909,61,LR,0.5,_first_onset,,NA
CCN3,0.911,62,LR,0.5,_first_onset,,NA
TNFRSF12A,0.905,63,LR,0.5,_first_onset,,NA
PPP6R2,0.909,64,LR,0.5,_first_onset,,NA
MYL5,0.893,65,LR,0.5,_first_onset,,NA
WWP1,0.883,66,LR,0.5,_first_onset,,NA
MYL3,0.866,67,LR,0.5,_first_onset,,NA
SMTN,0.867,68,LR,0.5,_first_onset,,NA
OTUD4,0.86,69,LR,0.5,_first_onset,,NA
PBXIP1,0.857,70,LR,0.5,_first_onset,,NA
ADAMTSL5,0.845,71,LR,0.5,_first_onset,,NA
ELAVL4,0.826,72,LR,0.5,_first_onset,,NA
ADAM12,0.817,73,LR,0.5,_first_onset,,NA
PRND,0.805,74,LR,0.5,_first_onset,,NA
CELSR2,0.81,75,LR,0.5,_first_onset,,NA
CD276,0.801,76,LR,0.5,_first_onset,,NA
RBFOX3,0.797,77,LR,0.5,_first_onset,,NA
FGFBP1,0.815,78,LR,0.5,_first_onset,,NA
STX4,0.822,79,LR,0.5,_first_onset,,NA
MYOM3,0.814,80,LR,0.5,_first_onset,,NA
CA3,0.809,81,LR,0.5,_first_onset,,NA
MMP3,0.814,82,LR,0.5,_first_onset,,NA
MYH9,0.804,83,LR,0.5,_first_onset,,NA
KISS1,0.798,84,LR,0.5,_first_onset,,NA
IGFL3,0.798,85,LR,0.5,_first_onset,,NA
DMD,0.81,86,LR,0.5,_first_onset,,NA
NFAT5,0.822,87,LR,0.5,_first_onset,,NA
CLEC4G,0.831,88,LR,0.5,_first_onset,,NA
CCK,0.83,89,LR,0.5,_first_onset,,NA
SDCCAG8,0.831,90,LR,0.5,_first_onset,,NA
KRI1,0.829,91,LR,0.5,_first_onset,,NA
AFAP1L1,0.821,92,LR,0.5,_first_onset,,NA
PHOSPHO1,0.815,93,LR,0.5,_first_onset,,NA
TRAK1,0.815,94,LR,0.5,_first_onset,,NA
PTGES2,0.809,95,LR,0.5,_first_onset,,NA
TNNC1,0.805,96,LR,0.5,_first_onset,,NA
IDI2,0.802,97,LR,0.5,_first_onset,,NA
MTSS1,0.804,98,LR,0.5,_first_onset,,NA
DCTN2,0.79,99,LR,0.5,_first_onset,,NA
CALCOCO1,0.781,100,LR,0.5,_first_onset,,NA
CALCB,0.79,101,LR,0.5,_first_onset,,NA
EDA2R,0.794,102,LR,0.5,_first_onset,,NA
ALDH3A1,0.789,103,LR,0.5,_first_onset,,NA
NDE1,0.792,104,LR,0.5,_first_onset,,NA
EIF2AK3,0.795,105,LR,0.5,_first_onset,,NA
TNNI3,0.78,106,LR,0.5,_first_onset,,NA
HS6ST2,0.785,107,LR,0.5,_first_onset,,NA
DTNB,0.78,108,LR,0.5,_first_onset,,NA
UNC45A,0.787,109,LR,0.5,_first_onset,,NA
SAV1,0.784,110,LR,0.5,_first_onset,,NA
GFAP,0.777,111,LR,0.5,_first_onset,,NA
PACSIN3,0.759,112,LR,0.5,_first_onset,,NA
ENPP5,0.758,113,LR,0.5,_first_onset,,NA
MOCS3,0.75,114,LR,0.5,_first_onset,,NA
CSRP3,0.741,115,LR,0.5,_first_onset,,NA
TAX1BP1,0.738,116,LR,0.5,_first_onset,,NA
MAP3K5,0.739,117,LR,0.5,_first_onset,,NA
RAD51AP2,0.717,118,LR,0.5,_first_onset,,NA
OGN,0.71,119,LR,0.5,_first_onset,,NA
PPFIA1,0.695,120,LR,0.5,_first_onset,,NA
MYBPC2,0.703,121,LR,0.5,_first_onset,,NA
USP28,0.703,122,LR,0.5,_first_onset,,NA
TXLNB,0.687,123,LR,0.5,_first_onset,,NA
FABP2,0.694,124,LR,0.5,_first_onset,,NA
RBP2,0.694,125,LR,0.5,_first_onset,,NA
TRAFD1,0.683,126,LR,0.5,_first_onset,,NA
PPY,0.672,127,LR,0.5,_first_onset,,NA
WASF3,0.663,128,LR,0.5,_first_onset,,NA
ITGB2,0.673,129,LR,0.5,_first_onset,,NA
IL32,0.671,130,LR,0.5,_first_onset,,NA
CMYA5,0.669,131,LR,0.5,_first_onset,,NA
CD38,0.668,132,LR,0.5,_first_onset,,NA
TTN,0.679,133,LR,0.5,_first_onset,,NA
SERPINB8,0.661,134,LR,0.5,_first_onset,,NA
GOLGA4,0.658,135,LR,0.5,_first_onset,,NA
MYH1,0.633,136,LR,0.5,_first_onset,,NA
MSTN,0.606,137,LR,0.5,_first_onset,,NA
NEFL,0.775,1,LR,1,_first_onset,,NA
CALCA,0.818,2,LR,1,_first_onset,,NA
DUSP29,0.859,3,LR,1,_first_onset,,NA
NGRN,0.899,4,LR,1,_first_onset,,NA
SPINK7,0.921,5,LR,1,_first_onset,,NA
MYH1,0.939,6,LR,1,_first_onset,,NA
TXLNB,0.943,7,LR,1,_first_onset,,NA
IRAG2,0.948,8,LR,1,_first_onset,,NA
MTSS1,0.956,9,LR,1,_first_onset,,NA
FABP2,0.962,10,LR,1,_first_onset,,NA
UNC45A,0.963,11,LR,1,_first_onset,,MAX
PPFIBP1,0.963,12,LR,1,_first_onset,,MAX
THBS4,0.963,13,LR,1,_first_onset,,MAX
NDE1,0.962,14,LR,1,_first_onset,,NA
WWP1,0.962,15,LR,1,_first_onset,,NA
USP28,0.961,16,LR,1,_first_onset,,NA
KRI1,0.96,17,LR,1,_first_onset,,NA
MYL5,0.961,18,LR,1,_first_onset,,NA
RBFOX3,0.961,19,LR,1,_first_onset,,NA
MMP3,0.961,20,LR,1,_first_onset,,NA
CALCOCO1,0.96,21,LR,1,_first_onset,,NA
MSANTD3,0.96,22,LR,1,_first_onset,,NA
PHOSPHO1,0.959,23,LR,1,_first_onset,,NA
ENPP5,0.958,24,LR,1,_first_onset,,NA
CAP2,0.954,25,LR,1,_first_onset,,NA
RGMA,0.947,26,LR,1,_first_onset,,NA
CELSR2,0.931,27,LR,1,_first_onset,,NA
GFAP,0.932,28,LR,1,_first_onset,,NA
TRAF2,0.925,29,LR,1,_first_onset,,NA
HS6ST2,0.927,30,LR,1,_first_onset,,NA
CRTAC1,0.914,31,LR,1,_first_onset,,NA
KLK4,0.921,32,LR,1,_first_onset,,NA
MPHOSPH9,0.917,33,LR,1,_first_onset,,NA
ALDH3A1,0.91,34,LR,1,_first_onset,,NA
COMP,0.897,35,LR,1,_first_onset,,NA
SIKE1,0.901,36,LR,1,_first_onset,,NA
CD276,0.873,37,LR,1,_first_onset,,NA
ITGAV,0.864,38,LR,1,_first_onset,,NA
NOS1,0.845,39,LR,1,_first_onset,,NA
ADAMTSL5,0.832,40,LR,1,_first_onset,,NA
PPP6R2,0.843,41,LR,1,_first_onset,,NA
ANKRD2,0.836,42,LR,1,_first_onset,,NA
ITGB6,0.877,43,LR,1,_first_onset,,NA
CALCB,0.882,44,LR,1,_first_onset,,NA
KLHL41,0.902,45,LR,1,_first_onset,,NA
MYBPH,0.925,46,LR,1,_first_onset,,NA
STRN,0.936,47,LR,1,_first_onset,,NA
SMTN,0.948,48,LR,1,_first_onset,,NA
PBXIP1,0.941,49,LR,1,_first_onset,,NA
CA3,0.932,50,LR,1,_first_onset,,NA
CA14,0.932,51,LR,1,_first_onset,,NA
MYOM2,0.926,52,LR,1,_first_onset,,NA
TTN,0.914,53,LR,1,_first_onset,,NA
PRKN,0.899,54,LR,1,_first_onset,,NA
AFAP1L1,0.892,55,LR,1,_first_onset,,NA
HPCAL4,0.887,56,LR,1,_first_onset,,NA
APOA4,0.907,57,LR,1,_first_onset,,NA
ITGAM,0.908,58,LR,1,_first_onset,,NA
KLK15,0.908,59,LR,1,_first_onset,,NA
SDCCAG8,0.9,60,LR,1,_first_onset,,NA
TNNC1,0.895,61,LR,1,_first_onset,,NA
EIF2AK3,0.895,62,LR,1,_first_onset,,NA
CSRP3,0.887,63,LR,1,_first_onset,,NA
ART3,0.876,64,LR,1,_first_onset,,NA
MYL1,0.875,65,LR,1,_first_onset,,NA
TAX1BP1,0.868,66,LR,1,_first_onset,,NA
MYL11,0.858,67,LR,1,_first_onset,,NA
RBP2,0.862,68,LR,1,_first_onset,,NA
TNNI3,0.859,69,LR,1,_first_onset,,NA
GOLGA4,0.844,70,LR,1,_first_onset,,NA
MYL3,0.839,71,LR,1,_first_onset,,NA
JCAD,0.85,72,LR,1,_first_onset,,NA
EPHA1,0.833,73,LR,1,_first_onset,,NA
KISS1,0.826,74,LR,1,_first_onset,,NA
WASF3,0.82,75,LR,1,_first_onset,,NA
IGFL3,0.81,76,LR,1,_first_onset,,NA
ACTN2,0.809,77,LR,1,_first_onset,,NA
MELTF,0.806,78,LR,1,_first_onset,,NA
ADAM12,0.796,79,LR,1,_first_onset,,NA
MYBPC1,0.793,80,LR,1,_first_onset,,NA
PACSIN3,0.793,81,LR,1,_first_onset,,NA
IGFBP6,0.813,82,LR,1,_first_onset,,NA
NFAT5,0.826,83,LR,1,_first_onset,,NA
CCK,0.827,84,LR,1,_first_onset,,NA
TRAK1,0.825,85,LR,1,_first_onset,,NA
FGFBP1,0.819,86,LR,1,_first_onset,,NA
MAP3K5,0.817,87,LR,1,_first_onset,,NA
OGN,0.811,88,LR,1,_first_onset,,NA
MEGF10,0.802,89,LR,1,_first_onset,,NA
ELAVL4,0.787,90,LR,1,_first_onset,,NA
TRAFD1,0.786,91,LR,1,_first_onset,,NA
SERPINB8,0.781,92,LR,1,_first_onset,,NA
CAPN3,0.782,93,LR,1,_first_onset,,NA
POSTN,0.793,94,LR,1,_first_onset,,NA
ENDOU,0.793,95,LR,1,_first_onset,,NA
SAV1,0.797,96,LR,1,_first_onset,,NA
MYBPC2,0.792,97,LR,1,_first_onset,,NA
PDZD2,0.776,98,LR,1,_first_onset,,NA
PPFIA1,0.773,99,LR,1,_first_onset,,NA
FABP3,0.769,100,LR,1,_first_onset,,NA
FYCO1,0.783,101,LR,1,_first_onset,,NA
STX4,0.791,102,LR,1,_first_onset,,NA
EZR,0.794,103,LR,1,_first_onset,,NA
TNFRSF12A,0.804,104,LR,1,_first_onset,,NA
KIFC3,0.807,105,LR,1,_first_onset,,NA
DMD,0.788,106,LR,1,_first_onset,,NA
MAP4K1,0.782,107,LR,1,_first_onset,,NA
PPFIA4,0.772,108,LR,1,_first_onset,,NA
CLEC4G,0.755,109,LR,1,_first_onset,,NA
SYNM,0.769,110,LR,1,_first_onset,,NA
MYOM3,0.771,111,LR,1,_first_onset,,NA
MOCS3,0.759,112,LR,1,_first_onset,,NA
COL6A3,0.748,113,LR,1,_first_onset,,NA
OTUD4,0.734,114,LR,1,_first_onset,,NA
PPY,0.743,115,LR,1,_first_onset,,NA
EDA2R,0.746,116,LR,1,_first_onset,,NA
RAD51AP2,0.741,117,LR,1,_first_onset,,NA
ITGB2,0.725,118,LR,1,_first_onset,,NA
KLK8,0.723,119,LR,1,_first_onset,,NA
IFT172,0.729,120,LR,1,_first_onset,,NA
IL32,0.716,121,LR,1,_first_onset,,NA
CMYA5,0.711,122,LR,1,_first_onset,,NA
DCTN2,0.71,123,LR,1,_first_onset,,NA
PRND,0.704,124,LR,1,_first_onset,,NA
IQGAP2,0.699,125,LR,1,_first_onset,,NA
CD38,0.695,126,LR,1,_first_onset,,NA
PTGES2,0.694,127,LR,1,_first_onset,,NA
MYOC,0.678,128,LR,1,_first_onset,,NA
HSPB6,0.657,129,LR,1,_first_onset,,NA
MYH9,0.642,130,LR,1,_first_onset,,NA
IDI2,0.652,131,LR,1,_first_onset,,NA
CCN3,0.634,132,LR,1,_first_onset,,NA
MSTN,0.612,133,LR,1,_first_onset,,NA
DTNB,0.617,134,LR,1,_first_onset,,NA
NEB,0.603,135,LR,1,_first_onset,,NA
SORBS1,0.599,136,LR,1,_first_onset,,NA
CORO6,0.547,137,LR,1,_first_onset,,NA
NEFL,0.721,1,LR,2,_first_onset,,NA
CALCA,0.79,2,LR,2,_first_onset,,NA
ART3,0.814,3,LR,2,_first_onset,,NA
DUSP29,0.826,4,LR,2,_first_onset,,NA
MYL3,0.846,5,LR,2,_first_onset,,NA
NFAT5,0.863,6,LR,2,_first_onset,,NA
EPHA1,0.87,7,LR,2,_first_onset,,NA
FABP3,0.88,8,LR,2,_first_onset,,NA
TNNC1,0.895,9,LR,2,_first_onset,,NA
NEB,0.901,10,LR,2,_first_onset,,NA
EDA2R,0.904,11,LR,2,_first_onset,,NA
NDE1,0.908,12,LR,2,_first_onset,,NA
PPP6R2,0.912,13,LR,2,_first_onset,,NA
NGRN,0.915,14,LR,2,_first_onset,,NA
FYCO1,0.921,15,LR,2,_first_onset,,NA
TTN,0.924,16,LR,2,_first_onset,,NA
DTNB,0.926,17,LR,2,_first_onset,,NA
CAP2,0.93,18,LR,2,_first_onset,,NA
RAD51AP2,0.933,19,LR,2,_first_onset,,NA
ADAM12,0.934,20,LR,2,_first_onset,,NA
USP28,0.937,21,LR,2,_first_onset,,NA
CLEC4G,0.937,22,LR,2,_first_onset,,NA
MAP3K5,0.938,23,LR,2,_first_onset,,NA
KLK8,0.939,24,LR,2,_first_onset,,MAX
CRTAC1,0.938,25,LR,2,_first_onset,,NA
GOLGA4,0.939,26,LR,2,_first_onset,,MAX
MYBPC1,0.938,27,LR,2,_first_onset,,NA
WWP1,0.938,28,LR,2,_first_onset,,NA
CALCOCO1,0.938,29,LR,2,_first_onset,,NA
MOCS3,0.938,30,LR,2,_first_onset,,NA
KLK4,0.937,31,LR,2,_first_onset,,NA
HPCAL4,0.937,32,LR,2,_first_onset,,NA
TAX1BP1,0.936,33,LR,2,_first_onset,,NA
ACTN2,0.934,34,LR,2,_first_onset,,NA
CAPN3,0.932,35,LR,2,_first_onset,,NA
PPFIBP1,0.93,36,LR,2,_first_onset,,NA
MYL5,0.929,37,LR,2,_first_onset,,NA
HS6ST2,0.926,38,LR,2,_first_onset,,NA
PTGES2,0.923,39,LR,2,_first_onset,,NA
DMD,0.921,40,LR,2,_first_onset,,NA
CALCB,0.918,41,LR,2,_first_onset,,NA
SAV1,0.919,42,LR,2,_first_onset,,NA
ITGB6,0.916,43,LR,2,_first_onset,,NA
OGN,0.914,44,LR,2,_first_onset,,NA
POSTN,0.917,45,LR,2,_first_onset,,NA
MYOM3,0.903,46,LR,2,_first_onset,,NA
MYOC,0.896,47,LR,2,_first_onset,,NA
KLK15,0.895,48,LR,2,_first_onset,,NA
PRND,0.892,49,LR,2,_first_onset,,NA
KIFC3,0.874,50,LR,2,_first_onset,,NA
MPHOSPH9,0.874,51,LR,2,_first_onset,,NA
PACSIN3,0.849,52,LR,2,_first_onset,,NA
ENPP5,0.826,53,LR,2,_first_onset,,NA
